problem,sample_in,sample_out,challenge_in,challenge_out
1,10,23,1000,233168
2,89,44,4000000,4613732
3,13195,29,600851475143,6857
4,2,9009,3,906609
5,10,2520,20,232792560
6,10,2640,100,25164150
7,6,13,10001,104743
8,4,5832,13,23514624000
9,12,60,1000,31875000
10,10,17,2000000,142913828922
11,2,9603,4,70600674
12,5,28,500,76576500
13,,,10,5537376230
14,10,9,1000000,837799
15,2,6,20,137846528820
16,15,26,1000,1366
17,5,19,1000,21124
18,,23,,1074
19,,,,171
20,,,100,648
21,,,10000,31626
22,,,,871198282
23,,,28123,4179871
24,"{""elements"": [0, 1, 2], ""position"": 4}",120,"{""elements"": [0, 1, 2,3,4,5,6,7,8,9], ""position"": 1000000}",2783915460
